id_voto,id_candidato,dpi_ciudadano,mesa_id,fecha_hora,,,,,,,,,,,
1,6,1979280000000,29,25/06/2023 9:54,,,,,,,,,,,
1,1068,1979280000000,29,25/06/2023 9:54,,,,,,,,,,,
1,253,1979280000000,29,25/06/2023 9:54,,,,,,,,,,,
1,615,1979280000000,29,25/06/2023 9:54,,,,,,,,,,,
1,784,1979280000000,29,25/06/2023 9:54,,,,,,,,,,,
2,16,3144520000000,30,25/06/2023 13:08,,,,,,,,,,,
2,1064,3144520000000,30,25/06/2023 13:08,,,,,,,,,,,
2,254,3144520000000,30,25/06/2023 13:08,,,,,,,,,,,
2,510,3144520000000,30,25/06/2023 13:08,,,,,,,,,,,
2,825,3144520000000,30,25/06/2023 13:08,,,,,,,,,,,
3,1,8728090000000,61,25/06/2023 18:45,,,,,,,,,,,
3,1069,8728090000000,61,25/06/2023 18:45,,,,,,,,,,,
3,65,8728090000000,61,25/06/2023 18:45,,,,,,,,,,,
3,608,8728090000000,61,25/06/2023 18:45,,,,,,,,,,,
3,1003,8728090000000,61,25/06/2023 18:45,,,,,,,,,,,
4,-1,7160010000000,5,25/06/2023 15:25,,,,,,,,,,,
4,-1,7160010000000,5,25/06/2023 15:25,,,,,,,,,,,
4,-1,7160010000000,5,25/06/2023 15:25,,,,,,,,,,,
4,-1,7160010000000,5,25/06/2023 15:25,,,,,,,,,,,
4,-1,7160010000000,5,25/06/2023 15:25,,,,,,,,,,,
5,849,8377100000000,66,25/06/2023 11:38,,,,,,,,,,,
5,1069,8377100000000,66,25/06/2023 11:38,,,,,,,,,,,
5,168,8377100000000,66,25/06/2023 11:38,,,,,,,,,,,
5,470,8377100000000,66,25/06/2023 11:38,,,,,,,,,,,
5,1046,8377100000000,66,25/06/2023 11:38,,,,,,,,,,,
6,4,7730280000000,56,25/06/2023 8:18,,,,,,,,,,,
6,1049,7730280000000,56,25/06/2023 8:18,,,,,,,,,,,
6,213,7730280000000,56,25/06/2023 8:18,,,,,,,,,,,
6,588,7730280000000,56,25/06/2023 8:18,,,,,,,,,,,
